2022-10-26 16:05:42,814, INFO, ResultsLogger, Model:SCNN_A, EpochTrained:20, Acc: 99.0%, AvgLoss: 0.111252, AddInfo: hyperStudy-ModelA-hyperOPT, Avg sparsity: 0.9359930753707886
2022-10-26 16:49:50,809, INFO, ResultsLogger, Model:SCNN_A, EpochTrained:20, Acc: 98.3%, AvgLoss: 0.247833, AddInfo: hyperStudy-ModelA-hyperOPT, Avg sparsity: 0.9156335592269897
2022-10-27 10:58:47,448, INFO, ResultsLogger, Model:SCNN_A, EpochTrained:20, Acc: 97.7%, AvgLoss: 0.144411, AddInfo: hyperStudy-ModelA-hyperOPT, Avg sparsity: 0.8418046236038208
2022-10-27 11:36:46,735, INFO, ResultsLogger, Model:SCNN_A, EpochTrained:20, Acc: 98.0%, AvgLoss: 0.070242, AddInfo: hyperStudy-ModelA-hyperOPT, Avg sparsity: 0.9178921580314636
2022-10-27 11:49:09,038, INFO, ResultsLogger, Model:SCNN_A, EpochTrained:20, Acc: 96.7%, AvgLoss: 0.283461, AddInfo: hyperStudy-ModelA-hyperOPT, Avg sparsity: 0.939085841178894
2022-10-27 11:49:09,038, INFO, ResultsLogger, Model:SCNN_A, EpochTrained:20, Acc: 96.7%, AvgLoss: 0.283461, AddInfo: hyperStudy-ModelA-hyperOPT, Avg sparsity: 0.939085841178894
2022-10-27 11:58:50,523, INFO, ResultsLogger, Model:SCNN_A, EpochTrained:20, Acc: 98.0%, AvgLoss: 0.250283, AddInfo: hyperStudy-ModelA-hyperOPT, Avg sparsity: 0.9355140328407288
2022-10-27 11:58:50,523, INFO, ResultsLogger, Model:SCNN_A, EpochTrained:20, Acc: 98.0%, AvgLoss: 0.250283, AddInfo: hyperStudy-ModelA-hyperOPT, Avg sparsity: 0.9355140328407288
2022-10-27 11:58:50,523, INFO, ResultsLogger, Model:SCNN_A, EpochTrained:20, Acc: 98.0%, AvgLoss: 0.250283, AddInfo: hyperStudy-ModelA-hyperOPT, Avg sparsity: 0.9355140328407288
2022-10-27 12:48:38,808, INFO, ResultsLogger, Model:SCNN_A, EpochTrained:20, Acc: 97.0%, AvgLoss: 0.149737, AddInfo: hyperStudy-ModelA-hyperOPT, Avg sparsity: 0.9208837151527405
2022-10-27 12:48:38,808, INFO, ResultsLogger, Model:SCNN_A, EpochTrained:20, Acc: 97.0%, AvgLoss: 0.149737, AddInfo: hyperStudy-ModelA-hyperOPT, Avg sparsity: 0.9208837151527405
